content_id,title,genres,imdbId,tmdbId,url,rating_count,rating_avg,poster_path,keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,http://www.imdb.com/title/tt0114709/,215,3.92093023255814,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,martial arts jealousy friendship bullying elementary school friends rivalry rescue mission buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,http://www.imdb.com/title/tt0113497/,110,3.4318181818181817,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,giant insect board game jungle disappearance recluse stampede based on young adult novel
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,http://www.imdb.com/title/tt0113228/,52,3.2596153846153846,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,fishing halloween sequel old man best friend wedding italian restaurant old friends duringcreditsstinger pranks
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,http://www.imdb.com/title/tt0114885/,7,2.357142857142857,https://image.tmdb.org/t/p/original/4uw6HKq4vlhrSVp0zkgd4zCy4Pf.jpg,based on novel or book interracial relationship single mother divorce
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,http://www.imdb.com/title/tt0113041/,49,3.071428571428572,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"parent child relationship baby midlife crisis confidence pregnancy aging daughter sequel remake los angeles, california contraception gynecologist"
6,Heat (1995),Action|Crime|Thriller,113277,949.0,http://www.imdb.com/title/tt0113277/,102,3.946078431372549,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,"robbery detective obsession chase thief honor murder heist betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cult film ex-con one last job loner bank job neo-noir crime epic"
7,Sabrina (1995),Comedy|Romance,114319,11860.0,http://www.imdb.com/title/tt0114319/,54,3.185185185185185,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,"paris, france sibling relationship chauffeur long island, new york fusion millionaire"
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,http://www.imdb.com/title/tt0112302/,8,2.875,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,mississippi river based on novel or book male friendship
9,Sudden Death (1995),Action,114576,9091.0,http://www.imdb.com/title/tt0114576/,16,3.125,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,"terrorist hostage explosive ice hockey vice president pittsburgh, pennsylvania pittsburgh penguins"
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,http://www.imdb.com/title/tt0113189/,132,3.496212121212121,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,"cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg, russia red army"
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,http://www.imdb.com/title/tt0112346/,70,3.6714285714285713,https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,the white house usa president new love widower wildlife conservation
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,http://www.imdb.com/title/tt0112896/,19,2.421052631578948,https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,vampire spoof dracula
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,http://www.imdb.com/title/tt0112453/,8,3.125,https://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,wolf pet dog-sledding race alaska dog goose bear attack dog sled pets
14,Nixon (1995),Drama,113987,10858.0,http://www.imdb.com/title/tt0113987/,18,3.8333333333333335,https://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"washington dc, usa usa president 1970s presidential election watergate scandal biography government historical figure richard nixon 1960s"
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,http://www.imdb.com/title/tt0112760/,13,3.0,https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,exotic island treasure map island ship scalp sword fight betrayal treasure map pirate heroine swashbuckler adventurer pirate ship 17th century
16,Casino (1995),Crime|Drama,112641,524.0,http://www.imdb.com/title/tt0112641/,82,3.926829268292683,https://image.tmdb.org/t/p/original/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,poker gambling casino drug abuse 1970s fbi overdose greed rise and fall car bomb alcoholism organized crime mafia money las vegas desert illegal prostitution 1980s
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,http://www.imdb.com/title/tt0114388/,67,3.776119402985074,https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"london, england based on novel or book servant country life widow pneumonia secret love inheritance military officer period drama english countryside rainstorm decorum horse carriage young love dowry 19th century penniless social elite bloodletting free spirited sussex 1800s sisters love social classes marry for money secret engagement devonshire, england"
18,Four Rooms (1995),Comedy,113101,5.0,http://www.imdb.com/title/tt0113101/,20,3.7,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"hotel new year's eve witch bet hotel room sperm anthology los angeles, california hoodlum multiple storylines woman director"
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,http://www.imdb.com/title/tt0112281/,88,2.727272727272727,https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,africa indigenous kidnapping human animal relationship bat stupidity slapstick comedy animal pets
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,http://www.imdb.com/title/tt0113845/,15,2.5,https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,new york city sibling relationship subway new york subway train robbery
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,http://www.imdb.com/title/tt0113161/,89,3.49438202247191,https://image.tmdb.org/t/p/original/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"gambling miami, florida based on novel or book gangster murder travel mafia money debt mobster business hollywood drugs producer con"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,http://www.imdb.com/title/tt0112722/,36,3.2222222222222223,https://image.tmdb.org/t/p/original/lKNjGQXTy5WkSjAtLzLzAN9IHCD.jpg,police brutality psychology police operation police protection serial killer psychologist cowardliness
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,http://www.imdb.com/title/tt0112401/,16,3.125,https://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,"cia bank cat mexican standoff seattle, usa hitman mission of murder hidden camera rivalry rescue shootout police chase sniper rifle detroit, michigan silencer double cross caribbean sea"
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,http://www.imdb.com/title/tt0114168/,28,3.125,https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,shot to death teenage boy held at gunpoint teacher student relationship albino fainting christ allegory psionic power healing power flickering light extrasensory perception pale
