content_id,tmdbId,title,genres,rating_count,rating_avg,keywords,url,imdbId,poster_path
1,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215,3.92093023255814,martial arts jealousy friendship bullying elementary school friends rivalry rescue mission buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness,http://www.imdb.com/title/tt0114709/,114709,https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,8844.0,Jumanji (1995),Adventure|Children|Fantasy,110,3.4318181818181817,giant insect board game jungle disappearance recluse stampede based on young adult novel,http://www.imdb.com/title/tt0113497/,113497,https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,15602.0,Grumpier Old Men (1995),Comedy|Romance,52,3.2596153846153846,fishing halloween sequel old man best friend wedding italian restaurant old friends duringcreditsstinger pranks,http://www.imdb.com/title/tt0113228/,113228,https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,31357.0,Waiting to Exhale (1995),Comedy|Drama|Romance,7,2.357142857142857,based on novel or book interracial relationship single mother divorce,http://www.imdb.com/title/tt0114885/,114885,https://image.tmdb.org/t/p/original/4uw6HKq4vlhrSVp0zkgd4zCy4Pf.jpg
5,11862.0,Father of the Bride Part II (1995),Comedy,49,3.071428571428572,"parent child relationship baby midlife crisis confidence pregnancy aging daughter sequel remake los angeles, california contraception gynecologist",http://www.imdb.com/title/tt0113041/,113041,https://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,949.0,Heat (1995),Action|Crime|Thriller,102,3.946078431372549,"robbery detective obsession chase thief honor murder heist betrayal gang los angeles, california cat and mouse bank robbery criminal mastermind cult film ex-con one last job loner bank job neo-noir crime epic",http://www.imdb.com/title/tt0113277/,113277,https://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,11860.0,Sabrina (1995),Comedy|Romance,54,3.185185185185185,"paris, france sibling relationship chauffeur long island, new york fusion millionaire",http://www.imdb.com/title/tt0114319/,114319,https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,45325.0,Tom and Huck (1995),Adventure|Children,8,2.875,mississippi river based on novel or book male friendship,http://www.imdb.com/title/tt0112302/,112302,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,9091.0,Sudden Death (1995),Action,16,3.125,"terrorist hostage explosive ice hockey vice president pittsburgh, pennsylvania pittsburgh penguins",http://www.imdb.com/title/tt0114576/,114576,https://image.tmdb.org/t/p/original/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,710.0,GoldenEye (1995),Action|Adventure|Thriller,132,3.496212121212121,"cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg, russia red army",http://www.imdb.com/title/tt0113189/,113189,https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
